Transaction_ID,Date,Year,Quarter,City,City_Tier,State,Category,Platform,Payment_Method,Revenue_USD,Revenue_INR,GST_Rate_Pct,Customer_Rating,Is_Returned,Device_Type,Internet_Type
IND-2000047,07-09-2018,2018,Q3,Jaipur,Tier-2,Rajasthan,Sports & Outdoors,BigBasket,UPI,85.02,7099,28,4.9,FALSE,Mobile,5G
IND-2000048,21-03-2023,2023,Q1,Surat,Tier-2,Gujarat,Books & Media,JioMart,BNPL,42.03,3510,5,3.3,TRUE,Mobile,WiFi
IND-2000049,16-01-2015,2015,Q1,Ahmedabad,Tier-2,Gujarat,Automotive,Meesho,UPI,433.44,36192,18,3.8,FALSE,Desktop,4G
IND-2000050,22-02-2017,2017,Q1,Chandigarh,Tier-2,Punjab,Electronics,Snapdeal,Credit Card,321.21,26821,28,4.7,FALSE,Desktop,WiFi
IND-2000051,26-11-2020,2020,Q4,Lucknow,Tier-2,Uttar Pradesh,Books & Media,Nykaa,Net Banking,42.2,3524,12,2.8,FALSE,Mobile,Broadband
IND-2000052,06-04-2020,2020,Q2,Hyderabad,Tier-1,Telangana,Home & Furniture,Myntra,Credit Card,307.06,25640,18,3.5,FALSE,Mobile,4G
IND-2000053,21-05-2021,2021,Q2,Surat,Tier-2,Gujarat,Toys & Games,Myntra,Credit Card,78.54,6558,18,4.4,FALSE,Mobile,4G
IND-2000054,19-03-2019,2019,Q1,Surat,Tier-2,Gujarat,Toys & Games,Myntra,UPI,26.04,2174,12,2.9,FALSE,Mobile,5G
IND-2000055,06-11-2024,2024,Q4,Surat,Tier-2,Gujarat,Toys & Games,JioMart,Cash on Delivery,102.48,8557,5,3.6,TRUE,Desktop,5G
IND-2000056,09-06-2022,2022,Q2,Chandigarh,Tier-2,Punjab,Sports & Outdoors,Myntra,UPI,118.63,9906,5,4.4,FALSE,Mobile,4G
IND-2000057,01-03-2016,2016,Q1,Chennai,Tier-1,Tamil Nadu,Fashion & Apparel,Meesho,UPI,46.5,3883,18,4,FALSE,Mobile,WiFi
IND-2000058,27-05-2024,2024,Q2,Hyderabad,Tier-1,Telangana,Jewellery & Watches,Tata Cliq,Net Banking,530.77,44319,5,3.8,FALSE,Desktop,4G
IND-2000059,28-01-2020,2020,Q1,Chennai,Tier-1,Tamil Nadu,Grocery & Food,Amazon India,BNPL,124.56,10401,18,5,FALSE,Desktop,4G
IND-2000060,19-02-2018,2018,Q1,Bengaluru,Tier-1,Karnataka,Grocery & Food,Meesho,UPI,23.38,1952,18,2.7,FALSE,Mobile,5G
IND-2000061,19-07-2023,2023,Q3,Hyderabad,Tier-1,Telangana,Fashion & Apparel,Flipkart,UPI,75.23,6282,18,4.4,FALSE,Mobile,5G
IND-2000062,09-10-2017,2017,Q4,Kolkata,Tier-1,West Bengal,Toys & Games,BigBasket,Debit Card,29.9,2497,28,3.1,FALSE,Mobile,WiFi
IND-2000063,30-05-2020,2020,Q2,Ahmedabad,Tier-2,Gujarat,Electronics,Meesho,Credit Card,292.53,24426,18,4.6,FALSE,Mobile,4G
IND-2000064,06-02-2017,2017,Q1,Lucknow,Tier-2,Uttar Pradesh,Books & Media,Ajio,UPI,18.39,1536,18,3.6,FALSE,Mobile,5G
IND-2000065,03-11-2015,2015,Q4,Ahmedabad,Tier-2,Gujarat,Books & Media,Meesho,Credit Card,14.9,1244,5,2.8,FALSE,Mobile,Broadband
IND-2000066,01-11-2021,2021,Q4,Chandigarh,Tier-2,Punjab,Home & Furniture,BigBasket,Debit Card,206.36,17231,12,4.7,FALSE,Mobile,5G
IND-2000067,14-11-2023,2023,Q4,Ahmedabad,Tier-2,Gujarat,Toys & Games,JioMart,UPI,63.86,5332,5,4.7,FALSE,Mobile,WiFi
IND-2000068,29-06-2015,2015,Q2,Chennai,Tier-1,Tamil Nadu,Jewellery & Watches,Myntra,Debit Card,137,11440,18,3.7,FALSE,Mobile,5G
IND-2000069,04-11-2016,2016,Q4,Jaipur,Tier-2,Rajasthan,Toys & Games,Flipkart,Credit Card,33.56,2802,12,3.7,FALSE,Mobile,3G
IND-2000070,21-05-2023,2023,Q2,Delhi,Tier-1,Delhi,Books & Media,Ajio,Credit Card,26.25,2192,18,3.9,FALSE,Mobile,Broadband
IND-2000071,20-05-2016,2016,Q2,Surat,Tier-2,Gujarat,Fashion & Apparel,Nykaa,Debit Card,63.86,5332,12,4.1,FALSE,Mobile,5G
IND-2000072,07-01-2015,2015,Q1,Ahmedabad,Tier-2,Gujarat,Sports & Outdoors,Amazon India,UPI,91.43,7634,5,2.8,FALSE,Mobile,4G
IND-2000073,06-06-2016,2016,Q2,Kolkata,Tier-1,West Bengal,Fashion & Apparel,Ajio,Credit Card,59.84,4997,18,4.3,TRUE,Mobile,5G
IND-2000074,14-06-2019,2019,Q2,Ahmedabad,Tier-2,Gujarat,Books & Media,Snapdeal,UPI,41.65,3478,18,3,FALSE,Mobile,Broadband
IND-2000075,21-10-2015,2015,Q4,Hyderabad,Tier-1,Telangana,Health & Beauty,Meesho,BNPL,24.28,2027,18,3.6,TRUE,Mobile,WiFi
IND-2000076,15-01-2023,2023,Q1,Pune,Tier-1,Maharashtra,Electronics,Myntra,UPI,379.7,31705,18,4.1,FALSE,Mobile,4G
IND-2000077,27-09-2016,2016,Q3,Pune,Tier-1,Maharashtra,Electronics,Meesho,Debit Card,175.55,14658,28,4.9,FALSE,Desktop,3G
IND-2000078,23-08-2015,2015,Q3,Chandigarh,Tier-2,Punjab,Toys & Games,Ajio,Debit Card,43.5,3632,18,2.6,FALSE,Desktop,Broadband
IND-2000079,04-03-2016,2016,Q1,Lucknow,Tier-2,Uttar Pradesh,Toys & Games,Nykaa,Debit Card,46.11,3850,18,3.6,FALSE,Mobile,WiFi
IND-2000080,05-11-2023,2023,Q4,Mumbai,Tier-1,Maharashtra,Sports & Outdoors,Ajio,UPI,140.87,11763,18,4,TRUE,Mobile,Broadband
IND-2000081,02-04-2016,2016,Q2,Bengaluru,Tier-1,Karnataka,Electronics,Meesho,UPI,165.89,13852,18,3.8,FALSE,Mobile,4G
IND-2000082,09-03-2016,2016,Q1,Surat,Tier-2,Gujarat,Automotive,Flipkart,Cash on Delivery,329.1,27480,18,4.8,FALSE,Mobile,4G
IND-2000083,21-02-2024,2024,Q1,Surat,Tier-2,Gujarat,Toys & Games,Tata Cliq,UPI,92.58,7730,28,4.4,FALSE,Mobile,WiFi
IND-2000084,18-09-2019,2019,Q3,Jaipur,Tier-2,Rajasthan,Toys & Games,Flipkart,UPI,38.9,3248,18,4,FALSE,Mobile,Broadband
IND-2000085,11-06-2022,2022,Q2,Kolkata,Tier-1,West Bengal,Electronics,Flipkart,UPI,210.02,17537,28,5,FALSE,Mobile,5G
IND-2000086,20-03-2023,2023,Q1,Hyderabad,Tier-1,Telangana,Home & Furniture,Nykaa,UPI,124.26,10376,18,3.8,FALSE,Desktop,Broadband
IND-2000087,03-12-2021,2021,Q4,Mumbai,Tier-1,Maharashtra,Grocery & Food,Ajio,BNPL,54.81,4577,28,4.6,FALSE,Tablet,4G
IND-2000088,16-03-2016,2016,Q1,Lucknow,Tier-2,Uttar Pradesh,Health & Beauty,Ajio,UPI,98.34,8211,28,3.1,TRUE,Mobile,WiFi
IND-2000089,22-03-2015,2015,Q1,Chennai,Tier-1,Tamil Nadu,Automotive,Nykaa,UPI,228.53,19082,18,2.6,FALSE,Desktop,4G
IND-2000090,29-05-2017,2017,Q2,Chennai,Tier-1,Tamil Nadu,Automotive,Nykaa,Net Banking,281.6,23514,18,4.9,FALSE,Desktop,3G
IND-2000091,26-11-2019,2019,Q4,Hyderabad,Tier-1,Telangana,Books & Media,Ajio,Credit Card,17.04,1423,12,4.7,FALSE,Mobile,WiFi
IND-2000092,12-09-2024,2024,Q3,Lucknow,Tier-2,Uttar Pradesh,Fashion & Apparel,Amazon India,Debit Card,110.3,9210,18,4.8,TRUE,Tablet,4G
IND-2000093,24-11-2020,2020,Q4,Mumbai,Tier-1,Maharashtra,Fashion & Apparel,Meesho,Debit Card,41.72,3484,5,4.9,FALSE,Mobile,WiFi
IND-2000094,03-11-2023,2023,Q4,Ahmedabad,Tier-2,Gujarat,Home & Furniture,Snapdeal,Credit Card,377.46,31518,18,4.6,FALSE,Mobile,WiFi
IND-2000095,09-02-2019,2019,Q1,Kolkata,Tier-1,West Bengal,Books & Media,Amazon India,BNPL,29.42,2457,5,4.9,FALSE,Mobile,4G
IND-2000096,05-03-2022,2022,Q1,Hyderabad,Tier-1,Telangana,Fashion & Apparel,Amazon India,Credit Card,111.98,9350,18,4.3,FALSE,Mobile,4G
IND-2000097,07-02-2016,2016,Q1,Surat,Tier-2,Gujarat,Electronics,JioMart,Debit Card,203.21,16968,18,4.6,FALSE,Desktop,4G
IND-2000098,05-02-2018,2018,Q1,Mumbai,Tier-1,Maharashtra,Toys & Games,Nykaa,Cash on Delivery,24.27,2027,5,3.7,FALSE,Mobile,5G
IND-2000099,01-09-2017,2017,Q3,Lucknow,Tier-2,Uttar Pradesh,Home & Furniture,Snapdeal,Cash on Delivery,231.52,19332,28,2.6,FALSE,Mobile,WiFi
IND-2000100,09-06-2015,2015,Q2,Kolkata,Tier-1,West Bengal,Home & Furniture,Meesho,Cash on Delivery,156.04,13029,18,4,FALSE,Mobile,Broadband
IND-2000101,05-08-2016,2016,Q3,Hyderabad,Tier-1,Telangana,Fashion & Apparel,Snapdeal,UPI,56.84,4746,28,2.8,FALSE,Mobile,5G
IND-2000102,15-02-2024,2024,Q1,Mumbai,Tier-1,Maharashtra,Toys & Games,Nykaa,Debit Card,56.57,4724,12,4.6,FALSE,Desktop,4G
IND-2000103,11-06-2016,2016,Q2,Pune,Tier-1,Maharashtra,Jewellery & Watches,Meesho,Cash on Delivery,380.66,31785,12,3.7,FALSE,Mobile,5G
IND-2000104,11-03-2018,2018,Q1,Ahmedabad,Tier-2,Gujarat,Toys & Games,Tata Cliq,Cash on Delivery,72.05,6016,18,3.4,FALSE,Mobile,WiFi
IND-2000105,24-06-2019,2019,Q2,Bengaluru,Tier-1,Karnataka,Grocery & Food,Myntra,Debit Card,62.74,5239,5,4.2,TRUE,Desktop,WiFi
IND-2000106,30-05-2021,2021,Q2,Lucknow,Tier-2,Uttar Pradesh,Books & Media,Tata Cliq,Wallet,32.85,2743,18,4.2,FALSE,Mobile,5G
IND-2000107,09-02-2024,2024,Q1,Pune,Tier-1,Maharashtra,Toys & Games,JioMart,Debit Card,51.52,4302,5,5,FALSE,Desktop,4G
IND-2000108,08-05-2017,2017,Q2,Ahmedabad,Tier-2,Gujarat,Health & Beauty,Tata Cliq,UPI,29.38,2453,28,4.1,FALSE,Mobile,WiFi
IND-2000109,12-05-2018,2018,Q2,Surat,Tier-2,Gujarat,Fashion & Apparel,Flipkart,Credit Card,47.26,3946,28,2.8,FALSE,Mobile,5G
IND-2000110,06-03-2018,2018,Q1,Hyderabad,Tier-1,Telangana,Health & Beauty,Ajio,UPI,43.01,3591,28,2.9,FALSE,Mobile,WiFi
IND-2000111,14-06-2015,2015,Q2,Hyderabad,Tier-1,Telangana,Jewellery & Watches,Tata Cliq,Debit Card,321.79,26869,18,4.8,FALSE,Mobile,WiFi
IND-2000112,29-11-2018,2018,Q4,Surat,Tier-2,Gujarat,Electronics,Ajio,Credit Card,251.27,20981,18,4.7,FALSE,Mobile,4G
IND-2000113,13-11-2017,2017,Q4,Bengaluru,Tier-1,Karnataka,Fashion & Apparel,Nykaa,Credit Card,58.57,4891,18,4.1,FALSE,Mobile,5G
IND-2000114,13-05-2015,2015,Q2,Delhi,Tier-1,Delhi,Sports & Outdoors,Meesho,Debit Card,62.64,5230,18,3.4,TRUE,Mobile,3G
IND-2000115,30-06-2024,2024,Q2,Lucknow,Tier-2,Uttar Pradesh,Electronics,Tata Cliq,UPI,388.41,32432,12,3.7,TRUE,Mobile,Broadband
IND-2000116,23-11-2017,2017,Q4,Chandigarh,Tier-2,Punjab,Fashion & Apparel,BigBasket,BNPL,50.02,4177,18,2.8,FALSE,Mobile,WiFi
IND-2000117,21-01-2017,2017,Q1,Ahmedabad,Tier-2,Gujarat,Toys & Games,Myntra,Credit Card,35.24,2943,12,4.9,FALSE,Mobile,5G
IND-2000118,30-06-2023,2023,Q2,Ahmedabad,Tier-2,Gujarat,Toys & Games,Flipkart,Cash on Delivery,60.03,5013,18,4.8,FALSE,Mobile,WiFi
IND-2000119,20-04-2023,2023,Q2,Chandigarh,Tier-2,Punjab,Automotive,Flipkart,UPI,408.03,34071,18,2.9,FALSE,Mobile,4G
IND-2000120,27-07-2016,2016,Q3,Mumbai,Tier-1,Maharashtra,Home & Furniture,Flipkart,Debit Card,106.9,8926,18,3.2,FALSE,Mobile,4G
IND-2000121,11-10-2015,2015,Q4,Delhi,Tier-1,Delhi,Home & Furniture,Myntra,Debit Card,165.51,13820,18,4,FALSE,Mobile,WiFi
IND-2000122,26-06-2024,2024,Q2,Surat,Tier-2,Gujarat,Electronics,BigBasket,UPI,337.31,28165,18,4.7,FALSE,Desktop,3G
IND-2000123,12-10-2022,2022,Q4,Lucknow,Tier-2,Uttar Pradesh,Automotive,Tata Cliq,UPI,404.27,33757,5,2.6,TRUE,Mobile,WiFi
IND-2000124,22-09-2017,2017,Q3,Chennai,Tier-1,Tamil Nadu,Home & Furniture,Meesho,UPI,146.06,12196,18,3.7,TRUE,Tablet,4G
IND-2000125,29-07-2017,2017,Q3,Kolkata,Tier-1,West Bengal,Electronics,BigBasket,UPI,195.97,16363,5,4.4,TRUE,Mobile,5G
IND-2000126,22-03-2019,2019,Q1,Lucknow,Tier-2,Uttar Pradesh,Grocery & Food,Tata Cliq,Debit Card,35.51,2965,12,4.7,FALSE,Mobile,Broadband
IND-2000127,24-04-2019,2019,Q2,Chennai,Tier-1,Tamil Nadu,Jewellery & Watches,Myntra,Debit Card,652.91,54518,18,4.2,FALSE,Desktop,4G
IND-2000128,15-01-2015,2015,Q1,Chandigarh,Tier-2,Punjab,Toys & Games,Myntra,UPI,31.28,2612,18,4.4,FALSE,Mobile,WiFi
IND-2000129,16-01-2023,2023,Q1,Chandigarh,Tier-2,Punjab,Home & Furniture,BigBasket,UPI,181.01,15114,28,3.6,TRUE,Mobile,4G
IND-2000130,03-04-2024,2024,Q2,Ahmedabad,Tier-2,Gujarat,Fashion & Apparel,Snapdeal,UPI,86.91,7257,18,3.3,FALSE,Mobile,4G
IND-2000131,08-12-2022,2022,Q4,Chennai,Tier-1,Tamil Nadu,Electronics,BigBasket,Debit Card,195.74,16344,28,3.6,FALSE,Mobile,5G
IND-2000132,05-10-2017,2017,Q4,Mumbai,Tier-1,Maharashtra,Home & Furniture,BigBasket,UPI,109.3,9127,18,3.5,FALSE,Mobile,4G
IND-2000133,07-06-2023,2023,Q2,Ahmedabad,Tier-2,Gujarat,Automotive,Snapdeal,UPI,632.26,52794,28,4.7,FALSE,Desktop,4G
IND-2000134,26-02-2016,2016,Q1,Hyderabad,Tier-1,Telangana,Health & Beauty,Flipkart,Credit Card,23.84,1991,12,3.8,FALSE,Mobile,4G
IND-2000135,30-12-2019,2019,Q4,Chennai,Tier-1,Tamil Nadu,Toys & Games,BigBasket,Credit Card,36.58,3054,18,5,FALSE,Mobile,4G
IND-2000136,27-06-2019,2019,Q2,Pune,Tier-1,Maharashtra,Toys & Games,Meesho,UPI,51.45,4296,28,3.5,FALSE,Desktop,5G
IND-2000137,16-11-2022,2022,Q4,Delhi,Tier-1,Delhi,Fashion & Apparel,Myntra,UPI,70.13,5856,18,3.3,FALSE,Desktop,4G
IND-2000138,15-11-2024,2024,Q4,Chandigarh,Tier-2,Punjab,Fashion & Apparel,Snapdeal,Cash on Delivery,86.4,7214,18,3.8,FALSE,Desktop,4G
IND-2000139,04-07-2019,2019,Q3,Lucknow,Tier-2,Uttar Pradesh,Home & Furniture,Myntra,UPI,274.76,22942,28,3.3,FALSE,Mobile,4G
IND-2000140,06-03-2016,2016,Q1,Bengaluru,Tier-1,Karnataka,Sports & Outdoors,Tata Cliq,BNPL,34.07,2845,12,4.8,FALSE,Tablet,Broadband
IND-2000141,29-08-2019,2019,Q3,Bengaluru,Tier-1,Karnataka,Automotive,Amazon India,Debit Card,221.55,18499,28,4.4,FALSE,Mobile,4G
IND-2000142,04-02-2015,2015,Q1,Chennai,Tier-1,Tamil Nadu,Sports & Outdoors,Ajio,UPI,80.56,6727,5,2.9,TRUE,Mobile,4G
IND-2000143,28-04-2022,2022,Q2,Ahmedabad,Tier-2,Gujarat,Toys & Games,Ajio,UPI,50.42,4210,28,2.6,FALSE,Desktop,4G
IND-2000144,10-05-2021,2021,Q2,Ahmedabad,Tier-2,Gujarat,Health & Beauty,Myntra,UPI,52.54,4387,12,2.9,FALSE,Mobile,Broadband
IND-2000145,17-05-2016,2016,Q2,Ahmedabad,Tier-2,Gujarat,Automotive,Meesho,UPI,335.55,28018,18,4.1,FALSE,Mobile,WiFi
IND-2000146,30-04-2015,2015,Q2,Bengaluru,Tier-1,Karnataka,Grocery & Food,Tata Cliq,UPI,25.35,2117,18,2.8,FALSE,Mobile,WiFi
IND-2000147,07-10-2024,2024,Q4,Jaipur,Tier-2,Rajasthan,Toys & Games,JioMart,UPI,71.04,5932,12,4.3,FALSE,Mobile,WiFi
IND-2000148,09-04-2016,2016,Q2,Chennai,Tier-1,Tamil Nadu,Home & Furniture,Myntra,Net Banking,142.95,11936,18,4.3,FALSE,Mobile,4G
IND-2000149,31-10-2024,2024,Q4,Jaipur,Tier-2,Rajasthan,Electronics,Tata Cliq,BNPL,413.03,34488,28,3.8,FALSE,Mobile,5G
IND-2000150,16-11-2022,2022,Q4,Jaipur,Tier-2,Rajasthan,Toys & Games,JioMart,UPI,43.59,3640,12,4.8,FALSE,Mobile,4G
IND-2000151,18-12-2022,2022,Q4,Chennai,Tier-1,Tamil Nadu,Automotive,Myntra,Credit Card,403.84,33721,18,4.8,FALSE,Mobile,WiFi
IND-2000152,25-02-2015,2015,Q1,Jaipur,Tier-2,Rajasthan,Electronics,Amazon India,Net Banking,153.28,12799,12,4.9,FALSE,Mobile,WiFi
IND-2000153,15-10-2020,2020,Q4,Ahmedabad,Tier-2,Gujarat,Home & Furniture,Myntra,Credit Card,98.36,8213,18,4.8,FALSE,Desktop,5G
IND-2000154,04-08-2020,2020,Q3,Mumbai,Tier-1,Maharashtra,Toys & Games,Snapdeal,Debit Card,52.86,4414,12,3.4,FALSE,Tablet,Broadband
IND-2000155,10-08-2022,2022,Q3,Lucknow,Tier-2,Uttar Pradesh,Grocery & Food,Meesho,Credit Card,38.25,3194,18,4.9,FALSE,Mobile,5G
IND-2000156,26-10-2019,2019,Q4,Surat,Tier-2,Gujarat,Fashion & Apparel,BigBasket,Debit Card,65.9,5503,18,3.7,FALSE,Mobile,5G
IND-2000157,25-11-2021,2021,Q4,Kolkata,Tier-1,West Bengal,Home & Furniture,Myntra,Debit Card,161.9,13519,12,3.6,FALSE,Tablet,4G
IND-2000158,24-06-2017,2017,Q2,Lucknow,Tier-2,Uttar Pradesh,Grocery & Food,Amazon India,Net Banking,43.27,3613,12,3.5,TRUE,Mobile,WiFi
IND-2000159,24-05-2024,2024,Q2,Ahmedabad,Tier-2,Gujarat,Electronics,Flipkart,UPI,184.95,15443,18,4.4,FALSE,Mobile,4G
IND-2000160,12-08-2018,2018,Q3,Chennai,Tier-1,Tamil Nadu,Jewellery & Watches,Snapdeal,Cash on Delivery,223.45,18658,5,3,FALSE,Desktop,Broadband
IND-2000161,07-10-2021,2021,Q4,Ahmedabad,Tier-2,Gujarat,Health & Beauty,BigBasket,Credit Card,118.7,9911,18,2.6,FALSE,Mobile,5G
